"Electoral Division","Name","Persons in AB Social Class Households(2006)",
"267001","AIRPORT","278",
"267002","BALBRIGGAN RURAL","2053",
"267003","BALBRIGGAN URBAN","1194",
"267004","BALDOYLE","1365",
"267005","BALGRIFFIN","296",
"267014","BALLYBOGHIL","310",
"267016","BALSCADDEN","185",
"267027","BLANCHARDSTOWN-ABBOTSTOWN","737",
"267028","BLANCHARDSTOWN-BLAKESTOWN","7353",
"267029","BLANCHARDSTOWN-COOLMINE","1752",
"267030","BLANCHARDSTOWN-CORDUFF","504",
"267031","BLANCHARDSTOWN-DELWOOD","1492",
"267032","BLANCHARDSTOWN-MULHUDDART","321",
"267033","BLANCHARDSTOWN-ROSELAWN","540",
"267034","BLANCHARDSTOWN-TYRRELSTOWN","100",
"267040","CASTLEKNOCK-KNOCKMAROON","6622",
"267041","CASTLEKNOCK-PARK","2190",
"267054","CLONMETHAN","194",
"267065","DONABATE","2247",
"267066","DUBBER","577",
"267091","GARRISTOWN","291",
"267093","HOLLYWOOD","255",
"267094","HOLMPATRICK","995",
"267095","HOWTH","3864",
"267098","KILSALLAGHAN","541",
"267099","KINSALEY","1732",
"267102","LUCAN NORTH","559",
"267104","LUSK","1758",
"267105","MALAHIDE EAST","2729",
"267106","MALAHIDE-WEST","2718",
"267110","PORTMARNOCK NORTH","1871",
"267111","PORTMARNOCK SOUTH","1275",
"267118","RUSH","1909",
"267123","SKERRIES","2473",
"267130","SUTTON","1973",
"267131","SWORDS-GLASMORE","1468",
"267132","SWORDS-FORREST","3078",
"267133","SWORDS-LISSENHALL","2054",
"267134","SWORDS-SEATOWN","2090",
"267135","SWORDS-VILLAGE","487",
"267158","THE WARD","1442",
"267160","TURNAPIN","340",
