ELECTIONTYPE,ELECTIONYEAR,WARDNUM,NUMVOTES,CANDIDATELASTNAME,CANDIDATEFIRSTNAME
Council,2006,1,4878,Hall,Suzan
Council,2006,1,2999,Verma,Sonali
Council,2006,1,496,Caputo,Anthony
Council,2006,1,467,Lucas,Andre
Council,2006,1,351,Ahinful,Francis
Council,2006,1,186,Berger,Ted
Council,2006,1,129,Mulhall,Rosemarie
Council,2006,1,79,Prevost,Brian
Council,2006,2,8421,Ford,Rob
Council,2006,2,2010,Ali,Cadigia
Council,2006,2,1241,Mckenna,Mike
Council,2006,2,499,Mark,Kevin
Council,2006,2,363,Desouza,Philip
Council,2006,2,219,Nobile,Nick
Council,2006,3,9757,Holyday,Doug
Council,2006,3,2171,Kudryk,Peter
Council,2006,3,1391,Lanca,Lillian
Council,2006,3,669,Vaughan,Ross
Council,2006,4,9979,Lindsay Luby,Gloria
Council,2006,4,4108,Daly,Shane
Council,2006,4,471,Mehta,Sam
Council,2006,5,8501,Milczyn,Peter
Council,2006,5,3856,Roszak,Arthur
Council,2006,5,1668,Chiappetta,John
Council,2006,5,1021,Mignone,Joseph
Council,2006,5,191,Tchernev,Bojidar
Council,2006,6,6472,Grimes,Mark
Council,2006,6,3758,Cain,Jem
Council,2006,6,2327,Day,Matthew
Council,2006,6,931,Wowchuk,Gregory
Council,2006,6,531,Markiewicz,Danuta
Council,2006,6,424,Chalmers,Rosalie
Council,2006,6,309,Melnyk,Walter
Council,2006,6,303,Del Grande,Tony
Council,2006,6,131,Kash,George
Council,2006,7,5877,Mammoliti,Giorgio
Council,2006,7,2753,Anthony,Sandra
Council,2006,7,495,Perlman,Larry
Council,2006,7,258,Cutler,Fred
Council,2006,8,4738,Perruzza,Anthony
Council,2006,8,4159,Li Preti,Peter
Council,2006,8,734,Dang Tan,Hau
Council,2006,8,371,Green,Garry
Council,2006,8,193,Tiwari,Ramnarine
Council,2006,8,173,Omar,Abdulhaq
Council,2006,9,7256,Augimeri,Maria
Council,2006,9,2100,Protsenko,Vlad
Council,2006,10,6527,Feldman,Michael
Council,2006,10,1940,Toutchinski,Igor
Council,2006,10,1586,Berkovits,Magda
Council,2006,10,1106,Royz,Max
Council,2006,10,561,Freedland,Robert
Council,2006,10,440,Smith,Craig
Council,2006,10,404,Dumalag,Alex
Council,2006,11,6469,Nunziata,Frances
