ELECTIONTYPE,ELECTIONYEAR,WARDNUM,NUMVOTES,CANDIDATELASTNAME,CANDIDATEFIRSTNAME
Mayoral,2006,1,134,Alexander,Michael
Mayoral,2006,2,122,Alexander,Michael
Mayoral,2006,3,69,Alexander,Michael
Mayoral,2006,4,80,Alexander,Michael
Mayoral,2006,5,102,Alexander,Michael
Mayoral,2006,6,128,Alexander,Michael
Mayoral,2006,7,191,Alexander,Michael
Mayoral,2006,8,223,Alexander,Michael
Mayoral,2006,9,182,Alexander,Michael
Mayoral,2006,10,147,Alexander,Michael
Mayoral,2006,11,185,Alexander,Michael
Mayoral,2006,12,176,Alexander,Michael
Mayoral,2006,13,40,Alexander,Michael
Mayoral,2006,14,76,Alexander,Michael
Mayoral,2006,15,144,Alexander,Michael
Mayoral,2006,16,22,Alexander,Michael
Mayoral,2006,17,200,Alexander,Michael
Mayoral,2006,18,102,Alexander,Michael
Mayoral,2006,19,87,Alexander,Michael
Mayoral,2006,20,85,Alexander,Michael
Mayoral,2006,21,72,Alexander,Michael
Mayoral,2006,22,42,Alexander,Michael
Mayoral,2006,23,60,Alexander,Michael
Mayoral,2006,24,53,Alexander,Michael
Mayoral,2006,25,20,Alexander,Michael
Mayoral,2006,26,98,Alexander,Michael
Mayoral,2006,27,49,Alexander,Michael
Mayoral,2006,28,86,Alexander,Michael
Mayoral,2006,29,280,Alexander,Michael
Mayoral,2006,30,88,Alexander,Michael
Mayoral,2006,31,116,Alexander,Michael
Mayoral,2006,32,51,Alexander,Michael
Mayoral,2006,33,92,Alexander,Michael
Mayoral,2006,34,114,Alexander,Michael
Mayoral,2006,35,220,Alexander,Michael
Mayoral,2006,36,78,Alexander,Michael
Mayoral,2006,37,216,Alexander,Michael
Mayoral,2006,38,162,Alexander,Michael
Mayoral,2006,39,152,Alexander,Michael
Mayoral,2006,40,205,Alexander,Michael
Mayoral,2006,41,165,Alexander,Michael
Mayoral,2006,42,140,Alexander,Michael
Mayoral,2006,43,122,Alexander,Michael
Mayoral,2006,44,71,Alexander,Michael
Mayoral,2006,1,37,Brooks,Nicholas
Mayoral,2006,2,37,Brooks,Nicholas
Mayoral,2006,3,27,Brooks,Nicholas
Mayoral,2006,4,29,Brooks,Nicholas
Mayoral,2006,5,22,Brooks,Nicholas
Mayoral,2006,6,46,Brooks,Nicholas
Mayoral,2006,7,43,Brooks,Nicholas
Mayoral,2006,8,41,Brooks,Nicholas
Mayoral,2006,9,38,Brooks,Nicholas
Mayoral,2006,10,18,Brooks,Nicholas
Mayoral,2006,11,52,Brooks,Nicholas
Mayoral,2006,12,48,Brooks,Nicholas
Mayoral,2006,13,28,Brooks,Nicholas
Mayoral,2006,14,21,Brooks,Nicholas
Mayoral,2006,15,45,Brooks,Nicholas
Mayoral,2006,16,9,Brooks,Nicholas
